passenger_count,timestamp,vehicle_id,stop_id,boarding,alighting
39,2025-07-13 02:32:48.965652,NUM_1058,SENGAR_34,False,False
59,2025-07-21 17:24:14.628008,NUM_1097,SENGAR_28,True,True
44,2025-07-22 09:47:16.265722,NUM_1070,SENGAR_18,False,True
4,2025-07-11 13:45:42.859623,NUM_1070,SENGAR_25,False,True
47,2025-07-24 06:18:13.465847,NUM_1057,SENGAR_25,True,True
13,2025-07-22 00:31:11.720721,NUM_1006,SENGAR_13,False,False
7,2025-07-24 01:22:13.001195,NUM_1065,SENGAR_19,False,False
46,2025-07-17 21:52:32.981165,NUM_1020,SENGAR_5,False,True
44,2025-07-07 11:41:24.704575,NUM_1033,SENGAR_20,True,True
35,2025-07-18 12:17:14.326890,NUM_1093,SENGAR_23,True,True
4,2025-07-14 14:51:26.169573,NUM_1035,SENGAR_29,False,False
8,2025-07-10 05:45:44.168361,NUM_1058,SENGAR_18,True,True
59,2025-07-13 15:24:17.531991,NUM_1056,SENGAR_28,False,False
51,2025-07-06 03:22:55.927034,NUM_1064,SENGAR_14,False,True
34,2025-07-20 09:46:04.304054,NUM_1055,SENGAR_27,False,False
18,2025-07-04 11:57:59.977062,NUM_1080,SENGAR_36,True,True
4,2025-07-02 13:35:26.794204,NUM_1008,SENGAR_38,True,False
23,2025-07-10 08:23:19.591081,NUM_1025,SENGAR_10,True,True
35,2025-07-16 08:31:12.276953,NUM_1055,SENGAR_7,False,True
31,2025-07-26 02:29:37.074580,NUM_1089,SENGAR_32,True,True
45,2025-07-01 17:54:57.607871,NUM_1010,SENGAR_38,False,True
22,2025-07-29 10:39:46.530814,NUM_1087,SENGAR_4,False,False
16,2025-07-27 04:56:19.748905,NUM_1018,SENGAR_36,True,False
57,2025-07-21 03:28:45.970253,NUM_1097,SENGAR_35,True,False
56,2025-07-06 16:24:58.915029,NUM_1041,SENGAR_38,False,False
47,2025-07-26 13:36:07.544231,NUM_1018,SENGAR_22,False,False
45,2025-07-30 05:04:40.225469,NUM_1061,SENGAR_11,False,False
45,2025-07-23 02:29:02.695144,NUM_1035,SENGAR_35,False,False
27,2025-07-11 00:44:13.922528,NUM_1080,SENGAR_21,True,True
12,2025-07-27 13:43:18.190938,NUM_1057,SENGAR_5,False,False
