id,operator_name,city,state_province,country
1,Union City Transit,,California,"United States of AmericaSan Mateo, San Mateo"
2,Santa Rosa CityBus,,California,United States of AmericaSanta Rosa
3,San Francisco International Airport,,California,United States of AmericaSan Mateo
4,Alameda-Contra Costa Transit District(AC Transit),Berkeley,California,"United States of AmericaBerkeley, Oakland"
5,The Victoria Clipper,,British Columbia,CanadaVictoria
6,Byron Easybus,Lismore,New South Wales,"AustraliaLismore, Brisbane"
7,De Waterbus(Aqualiner),,East Flanders,BelgiumAntwerpen
8,Adelaide Metro (SouthLink),Adelaide,South Australia,AustraliaAdelaide
9,Adelaide Metro - Light-City Buses,,,
10,Adelaide Metro - Light-City Buses School Service,,,
11,Adelaide Metro - Torrens Transit School Service,Adelaide,South Australia,AustraliaAdelaide
12,Adelaide Metro,Adelaide,South Australia,AustraliaAdelaide
13,Adelaide Metro - SouthLink School Service,,South Australia,AustraliaAdelaide
14,Adelaide Metro - Light-City Buses Industrial Service,,,
15,Adelaide Metro - Torrens Transit,Adelaide,South Australia,AustraliaAdelaide
16,Adelaide Metro - Torrens Transit Industrial Service,,South Australia,AustraliaAdelaide
17,Akron Metro Regional Transit Authority,Akron,Ohio,United States of AmericaAkron
18,GIRO - Transportes Urbanos(GIRO),Faro,Faro,"PortugalFaro, Portimão"
19,Próximo - Transportes Urbanos de Faro(Próximo),,Faro,PortugalFaro
20,Sobe e Desce - Transportes Urbanos de Tavira(Sobe e Desce),,Faro,PortugalFaro
21,Vamus Transportes do Algarve(Vamus),Portimão,Faro,"PortugalPortimão, Faro"
22,A Onda - Mobilidade Urbana(A Onda),,Faro,PortugalPortimão
23,Apanha-me! - Transportes Urbanos(Apanha-me!),,Faro,PortugalFaro
24,Circuito Olhão(Circuito Olhão),,Faro,PortugalFaro
25,Alilaguna,,Venezia,ItalyVenice
26,Amarillo City Transit,,Texas,United States of AmericaAmarillo
27,Azienda Trasporti Milanesi(ATM),,Milano,ItalyMilan
28,RoadRunneR Shuttle,Los Alamos,New Mexico,"United States of AmericaLos Alamos, Santa Fe"
29,Wisconsin Coach Lines,,,
30,Sunway Charters,,North Carolina,United States of America
31,Amtrak California,,,
32,Lone Star Coaches,,,
33,Burlington Trailways,,,
34,Trinity Transportation,,,
35,Martz First Class Coach,,,
36,Annett Bus Lines,,,
37,Vandalia Bus Lines,,,
38,Executive Transportation,Carbondale,Illinois,"United States of AmericaCarbondale, Galesburg, Peoria, Springfield"
39,Azienda Napoletana Mobilità(ANM),,Napoli,ItalyNaples
40,Kingston Transit,,Ontario,CanadaKingston
41,Ginko(Ginko),,Doubs,FranceBesançon
42,Thunder Bay Transit,Thunder Bay,Ontario,CanadaThunder Bay
43,Des Moines Area Regional Transit Authority(DART),,Iowa,United States of AmericaDes Moines
44,Suburban Mobility Authority for Regional Transit(SMART),Pontiac,Michigan,"United States of AmericaPontiac, Detroit"
45,Weekendbus,,Budapest,HungaryBudapest
46,Saskatoon Transit,,Saskatchewan,CanadaSaskatoon
47,Arlington Transit(ART),Alexandria,Virginia,United States of AmericaAlexandria
48,Azienda Regionale Sarda Trasporti(ARST),Cagliari,Cagliari,ItalyCagliari
49,KU on Wheels & Lawrence Transit System(Lawrence Transit),,Kansas,United States of AmericaLawrence
50,ATM - Azienda Trasporti di Messina,,Messina,Italy
